epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
45,18523.2,1.40225,1.36653,0.00146,0.48581,0.53537,0.51879,0.3713,1.20188,1.13163,0.00118,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,18919,1.38822,1.35731,0.00144,0.49471,0.51008,0.52191,0.37258,1.2022,1.11536,0.00117,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,19318.9,1.39128,1.35758,0.00144,0.47313,0.53584,0.52467,0.37847,1.20181,1.11611,0.00118,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,19716.7,1.40184,1.36685,0.00143,0.48048,0.54595,0.53005,0.37721,1.20267,1.1111,0.00117,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,20113.6,1.38995,1.35317,0.00145,0.50976,0.54032,0.5386,0.38816,1.19479,1.10389,0.00117,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,20508.3,1.38241,1.33598,0.00144,0.52834,0.53325,0.54443,0.39243,1.19718,1.09649,0.00117,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,20899.5,1.39442,1.33133,0.00145,0.53777,0.53049,0.54584,0.39485,1.18186,1.08761,0.00115,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,21293,1.38466,1.31753,0.00143,0.53229,0.51318,0.54887,0.40037,1.17056,1.07687,0.00115,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,21686.3,1.37757,1.31114,0.0014,0.53478,0.53203,0.5556,0.40369,1.1637,1.07287,0.00114,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,22081.8,1.36992,1.3082,0.00142,0.51432,0.55582,0.56463,0.41058,1.18424,1.07142,0.00115,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,22479.6,1.37657,1.28471,0.0014,0.57762,0.54294,0.57506,0.41563,1.18766,1.06482,0.00115,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,22875,1.38531,1.28869,0.00143,0.53479,0.56016,0.5682,0.41107,1.17988,1.05491,0.00115,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,23274.6,1.39062,1.30378,0.00145,0.55063,0.55321,0.56688,0.41266,1.17367,1.05096,0.00114,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
